plant_id,meter_id,meter_reading,date,created_at,data_availability,guid
11838318,11838324,195673687,2024-09-11 20:55:00.000000 UTC,2024-09-12 20:55:00.000000 UTC,1,
11838318,11838324,338378125,2025-03-07 16:00:35.351566 UTC,2025-03-07 16:00:35.351566 UTC,1,
11838318,11838324,327529625,2025-02-25 16:00:36.913174 UTC,2025-02-25 16:00:36.913174 UTC,1,
11701955,11848078,212713921,2024-12-09 16:00:30.144404 UTC,2024-12-09 16:00:30.144409 UTC,1,
11701955,11848078,195678203,2024-11-17 16:00:28.660651 UTC,2024-11-17 16:00:28.660657 UTC,1,
11701955,11848078,276079843,2025-02-23 16:00:34.094350 UTC,2025-02-23 16:00:34.094350 UTC,1,
11701955,11848078,274977156,2025-02-22 16:00:32.701864 UTC,2025-02-22 16:00:32.701864 UTC,1,
11701955,11848078,170852203,2024-10-16 16:00:30.251272 UTC,2024-10-16 16:00:30.251277 UTC,1,
11701955,11848078,205896937,2024-12-01 16:00:30.669579 UTC,2024-12-01 16:00:30.669584 UTC,1,
11701955,11848078,216939468,2024-12-14 16:00:29.448293 UTC,2024-12-14 16:00:29.448300 UTC,1,
11701955,11848078,339937781,2025-04-15 16:00:33.041519 UTC,2025-04-15 16:00:33.041519 UTC,,
11701955,11848078,170048312,2024-10-15 16:00:29.819050 UTC,2024-10-15 16:00:29.819057 UTC,1,
11701955,11848078,325449031,2025-04-06 16:01:40.362517 UTC,2025-04-06 16:01:40.362517 UTC,1,
11701955,11848078,158911562,2024-09-22 16:00:28.197037 UTC,2024-09-22 16:00:28.197042 UTC,1,
11701955,11848078,195847828,2024-11-18 16:00:28.713020 UTC,2024-11-18 16:00:28.713026 UTC,1,
11701955,11848078,223264750,2024-12-20 16:00:29.318450 UTC,2024-12-20 16:00:29.318456 UTC,1,
11701955,11848078,307623531,2025-03-27 16:00:32.403898 UTC,2025-03-27 16:00:32.403898 UTC,1,
