plant_id,created_at,temperature,module_temperature,ambient_temperature,solar_irradiation
1535727,2023-05-27 22:59:19.000000 UTC,25.5,23,23.6,1
1535727,2023-03-27 20:04:19.000000 UTC,26.2,23,24.9,1
1535727,2023-03-27 21:34:19.000000 UTC,26.1,23,24,1
1535727,2023-03-27 20:54:19.000000 UTC,26.1,23,24.4,1
1535727,2023-05-27 21:39:19.000000 UTC,25.6,23,23.4,1
1535727,2023-04-29 19:49:26.000000 UTC,25.6,23,23.3,1
1535727,2023-03-06 16:59:38.000000 UTC,22,24,28,1
1535727,2023-03-06 17:14:44.000000 UTC,22,24,28.5,1
1535727,2023-03-06 17:19:38.000000 UTC,22,24,28.5,1
1535727,2023-03-10 01:24:36.000000 UTC,24,24,25.2,91
1535727,2023-03-03 14:59:38.000000 UTC,24,24,27.7,1
1535727,2023-03-01 14:24:38.000000 UTC,24,24,27.4,1
1535727,2023-04-02 20:49:19.000000 UTC,26,24,24.5,1
1535727,2023-04-02 18:09:19.000000 UTC,26,24,24.4,1
1535727,2023-04-02 18:09:19.000000 UTC,26,24,24.4,1
1535727,2023-06-12 20:55:10.000000 UTC,26.5,24,24.3,1
1535727,2023-05-26 22:54:34.000000 UTC,26.2,24,24.9,7
1535727,2023-06-16 14:49:20.000000 UTC,26.2,24,24.6,1
1535727,2023-05-26 17:54:35.000000 UTC,25.7,24,24.1,1
1535727,2023-06-17 14:49:19.000000 UTC,25.7,24,24.3,1
1535727,2023-05-24 14:34:19.000000 UTC,26.4,24,24.5,1
1535727,2023-06-12 20:55:10.000000 UTC,26.4,24,24.4,1
1535727,2023-06-12 20:55:10.000000 UTC,26.4,24,24.3,1
1535727,2023-04-02 19:14:19.000000 UTC,25.9,24,24.5,1
1535727,2023-04-02 19:14:19.000000 UTC,25.9,24,24.6,1
1535727,2023-04-02 18:09:19.000000 UTC,26.1,24,24.4,1
1535727,2023-04-02 20:49:19.000000 UTC,26.1,24,24.4,1
1535727,2023-06-16 14:29:15.000000 UTC,26.1,24,24.9,1
1535727,2023-05-27 15:09:38.000000 UTC,26.3,24,24.6,1
1535727,2023-03-01 12:39:56.000000 UTC,25,25,28.5,1
1535727,2023-03-01 12:44:50.000000 UTC,25,25,28.5,1
1535727,2023-03-11 15:39:34.000000 UTC,25,25,28.6,1
