plant_id,generation_date,generation_amount
11838318,2025-09-14 18:00:00.000000 UTC,134.6
11838318,2025-09-16 18:00:00.000000 UTC,567.8
11838318,2025-09-13 18:00:00.000000 UTC,331.6
12018942,2025-09-20 18:00:00.000000 UTC,632.448
12018942,2025-09-18 18:00:00.000000 UTC,714.381
12018942,2025-09-19 18:00:00.000000 UTC,437.2
12018942,2025-09-17 18:00:00.000000 UTC,351.151
12018942,2025-09-21 18:00:00.000000 UTC,591.343
12018942,2025-09-23 18:00:00.000000 UTC,763.616
12018942,2025-09-24 18:00:00.000000 UTC,723.256
12018942,2025-09-22 18:00:00.000000 UTC,230.434
12018942,2025-09-25 18:00:00.000000 UTC,343.626
12018942,2025-09-28 18:00:00.000000 UTC,400.779
12018942,2025-09-29 18:00:00.000000 UTC,549.083
12018942,2025-10-01 18:00:00.000000 UTC,728.828
