generation_date,energy_kwh,energy_kwh_filled,expected_kwh,temp,clouds_all,daily_rain_mm,anomaly_hours,pr_daily,energy_30d,expected_30d,pr_30d
2025-05-15 00:00:00+06:00,582.3317783283,638.8814421612,1628.5088630001756,29.01657986111111,62.529513888888886,6.8,0,0.35758588212745707,833.34415843987,1629.8121390927574,0.510681522262531
2025-05-16 00:00:00+06:00,1062.2624698154,1139.0941955771,1642.5636440817052,30.46972222222222,49.84722222222222,3.23,0,0.6467100825242424,820.3960701699233,1629.6792069367405,0.5026526954942213
2025-05-17 00:00:00+06:00,858.0386920987,930.04064941585,1633.6602575786958,29.04609375,45.44097222222222,6.4,0,0.5252246837236701,817.33220115239,1630.0761294848503,0.5006767290285915
2025-05-18 00:00:00+06:00,989.3861905753,1017.5300120419,1631.806525191023,28.55152777777778,53.005208333333336,4.5200000000000005,0,0.6063134172474768,796.7311280902165,1630.070901980827,0.4879115930734927
2025-05-19 00:00:00+06:00,729.2401597109999,859.60273818825,1627.8654314826247,28.028628472222223,64.94618055555556,27.990000000000002,0,0.4479732449670755,790.9261519792733,1629.9395374568842,0.4843590815836826
2025-05-20 00:00:00+06:00,534.9691011469,594.7903077557,1620.957128362732,27.27175347222222,70.69618055555556,27.77,0,0.33003285021316525,793.5085495596701,1630.1107840937004,0.48589372506548767
2025-05-21 00:00:00+06:00,843.6119915048,923.32792341405,1630.5723124322587,28.393871527777776,65.0,1.5899999999999999,0,0.5173717136447743,779.1303452567133,1629.3578780692344,0.4771784596336183
2025-05-22 00:00:00+06:00,681.8718185461,718.36065804475,1624.8190663008545,28.23592013888889,70.91493055555556,2.4,0,0.41966015336001933,773.0797339780434,1629.4476247089467,0.4734242250942371
2025-05-23 00:00:00+06:00,725.9744246944,725.9057438444,1629.899662015468,28.759322916666665,59.66840277777778,0.0,0,0.4454105007891648,768.9673862725866,1629.2062056429952,0.47097723225218024
2025-05-24 00:00:00+06:00,884.1530016116,980.98753384065,1625.2365382430928,28.39640625,78.08333333333333,0.5,0,0.5440149669336033,758.4851597021533,1629.0345963269747,0.4646324583826145
2025-05-25 00:00:00+06:00,681.0825120617,757.35317329735,1636.2329658419092,29.3315625,78.97743055555556,0.31,0,0.41625033004469203,742.8193784805032,1628.7830909348456,0.4551833443323503
2025-05-26 00:00:00+06:00,789.8390267144999,885.7011441901,1629.6358455604038,28.821649305555557,74.48090277777779,6.5200000000000005,0,0.48467209951612705,705.0857943706033,1628.3100974369058,0.43238692336899975
2025-05-27 00:00:00+06:00,1144.7769541474,1273.3602590772,1642.6741640772616,30.52388888888889,37.80381944444444,3.07,0,0.6968983741157546,686.3837689604001,1627.942305593138,0.42114877314105176
2025-05-28 00:00:00+06:00,838.7495652535999,904.53505790165,1632.4663976053562,29.488958333333333,72.90451388888889,1.05,0,0.5137928514081214,705.0997957566966,1628.1454703074303,0.43256347187639294
2025-05-29 00:00:00+06:00,183.565000451,207.3247553293,1607.0318866302218,27.021597222222223,91.10243055555556,81.39,0,0.1142261096236968,707.7661384428368,1628.1151854603916,0.43420757625453027
2025-05-30 00:00:00+06:00,294.3147055086,300.5537135734,1605.6771418606102,27.2415625,96.875,50.56,0,0.18329631644849662,715.11386376549,1628.0205615448083,0.4387217721486208
