generation_date,generation_kwh,generation_kwh_filled,expected_energy_kwh,actual_power_kw,expected_power_kw,ghi,elevation,temp,clouds_all,visibility,rain_1h,is_daytime,is_anomaly,long_gap,plant_capacity,plant_name,pr_hourly
2024-03-06 07:00:00+06:00,7.2892913667,7.2892913667,38.4689830862046,7.2892913667,38.46898308620461,178.01467804369545,15.183872535668405,19.101666666666667,0.0,3527.0833333333335,0.0,True,False,0,269.28,HKL (GGI),0.1894848987914635
2024-03-06 08:00:00+06:00,53.6536342083,59.874679461099994,89.82706384978246,64.38436104996,89.82706384978246,411.027163578071,28.26700950920785,22.389166666666668,0.0,3729.1666666666665,0.0,True,False,0,269.28,HKL (GGI),0.5972992092675412
2024-03-06 09:00:00+06:00,51.433262962200004,51.433262962200004,134.9041745318579,51.4332629622,134.90417453185793,616.0782592874323,40.55085925772721,22.92,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),0.38125775677945334
2024-03-06 10:00:00+06:00,171.9373504555,171.9373504555,169.48060146138633,171.9373504555,169.48060146138633,768.7624108302554,51.20321758261334,24.556250000000002,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),1.0144957533365457
2024-03-06 11:00:00+06:00,194.9501830556,194.9501830556,190.3186215367545,194.95018305559998,190.31862153675448,856.2067581461497,58.48842795118667,26.664166666666663,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),1.024335829470849
2024-03-06 12:00:00+06:00,200.5873719444,200.5873719444,194.01545399480653,200.58737194440002,194.01545399480656,871.6734736373083,59.92420454631471,27.002916666666668,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),1.0338731673909305
2024-03-06 13:00:00+06:00,204.09163609450002,204.09163609450002,181.76380550104872,204.09163609450002,181.76380550104872,814.0031684174155,54.81870576956329,27.829166666666666,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),1.1228398059333242
2024-03-06 14:00:00+06:00,192.6175888833,192.6175888833,154.10608986955685,192.6175888833,154.10608986955685,687.5831513660145,45.30415330277856,28.762083333333333,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),1.2499025122650325
2024-03-06 15:00:00+06:00,150.144640611,150.144640611,112.14990959724251,150.144640611,112.14990959724253,502.5504258587189,33.56722623226373,27.559583333333336,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),1.3387852130260807
2024-03-06 16:00:00+06:00,76.3981228556,76.3981228556,61.34950398372379,76.3981228556,61.3495039837238,276.82809131818414,20.75846248124729,25.90791666666667,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),1.245293244357259
2024-03-06 17:00:00+06:00,11.3425805689,13.61880863,13.35373898287508,12.373724256981818,13.35373898287508,60.30458605202963,7.414304718698884,25.553749999999997,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),0.849393610542021
2024-03-06 18:00:00+06:00,0.2022384889,0.1325996889,0.0016872026146607997,0.20223848890000004,0.0016872026146608,0.007635486422668162,-6.188850524682986,24.86375,0.0,4000.0,0.0,True,False,0,269.28,HKL (GGI),119.86615427374657
2024-03-06 19:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-19.872085437477228,21.982916666666664,0.0,3954.1666666666665,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 20:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-33.46507807571377,18.5525,0.0,3854.1666666666665,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 21:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-46.70435171021179,17.954166666666666,0.0,3754.1666666666665,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 22:00:00+06:00,0.0,0.0,0.0,,0.0,0.0,-58.9688426947313,17.437083333333334,0.0,3654.1666666666665,0.0,False,False,0,269.28,HKL (GGI),
2024-03-06 23:00:00+06:00,0.0,0.0,0.0,,0.0,0.0,-68.35194895695173,17.34375,0.0,3554.1666666666665,0.0,False,False,0,269.28,HKL (GGI),
2024-03-07 00:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-70.34598251896637,18.086249999999996,0.0,3362.5,0.0,False,False,0,269.28,HKL (GGI),
2024-03-07 01:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-63.35325313306266,17.93125,0.0,3200.0,0.0,False,False,0,269.28,HKL (GGI),
2024-03-07 02:00:00+06:00,0.0,0.0,0.0,0.0,0.0,0.0,-51.897865836833375,17.42791666666667,0.0,3200.0,0.0,False,False,0,269.28,HKL (GGI),
